urban_system_id,city,country_code,country_name,environment_score,environment_pm25_score,environment_pm25_year,environment_green_score,environment_green_year,mobility_score,public_transport_score,public_transport_year,economic_opportunity_score,employment_score,employment_year,unemployment_score,unemployment_year,perceived_safety_score,perceived_safety_year,community_score,community_year,life_satisfaction_score,life_satisfaction_year,housing_satisfaction_score,housing_satisfaction_year,profile_dimensions_available,profile_coverage_pct,explorer_eligible,environment_eligible,mobility_eligible,economic_eligible,extended_profile_eligible,radar_eligible,n_perception_dimensions
DE107,Heilbronn,DE,Germany,43.26,23.19,2025,63.32,2021,72.68,72.68,2023,82.69,95.2,2021,70.19,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE108,Remscheid,DE,Germany,66.49,46.38,2025,86.6,2021,78.78,78.78,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE110,Ulm,DE,Germany,55.05,33.53,2025,76.57,2021,77.06,77.06,2023,89.78,94.65,2021,84.91,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE111,Pforzheim,DE,Germany,56.45,25.41,2025,87.48,2021,92.04,92.04,2023,77.08,91.14,2021,63.02,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE112,Ingolstadt,DE,Germany,52.58,46.97,2025,58.19,2021,37.14,37.14,2023,92.14,94.1,2021,90.19,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE113,Gera,DE,Germany,71.61,49.63,2025,93.58,2021,72.68,72.68,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE115,Reutlingen,DE,Germany,57.09,24.52,2025,89.65,2021,81.7,81.7,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE117,Cottbus,DE,Germany,78.94,59.97,2025,97.91,2021,47.08,47.08,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE118,Siegen,DE,Germany,78.43,60.71,2025,96.15,2021,83.29,83.29,2023,71.75,86.72,2021,56.79,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE120,Hildesheim,DE,Germany,79.44,86.26,2025,72.63,2021,68.17,68.17,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE122,Zwickau,DE,Germany,,,,97.67,2021,70.82,70.82,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE123,Erlangen,DE,Germany,,,,86.92,2021,87.0,87.0,2023,86.7,91.14,2021,82.26,2021,,,,,,,,,2,28.6,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0
DE124,Wuppertal,DE,Germany,69.37,43.72,2025,95.02,2021,97.75,97.75,2023,24.01,37.45,2021,10.57,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE125,Jena,DE,Germany,66.58,52.73,2025,80.42,2021,75.73,75.73,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE126,"Düren, Stadt",DE,Germany,75.44,65.58,2025,85.31,2021,78.78,78.78,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE127,"Bocholt, Stadt",DE,Germany,,44.02,2025,,,40.98,40.98,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DK001,København,DK,Denmark,52.36,64.11,2025,40.61,2021,77.06,77.06,2023,,,,,,100.0,2023,99.38,2023,75.62,2023,10.0,2023,6,85.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4
DK002,Århus,DK,Denmark,75.11,80.95,2025,69.26,2021,36.47,36.47,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DK003,Odense,DK,Denmark,85.63,74.15,2025,97.11,2021,42.84,42.84,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
